date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:54:30	1155/1155	---MCZ	200	added ('OK')	application/javascript	etag:W/%2255fc1ef5ecbf9f70994721c013543c9c%22	https://www.buildinamsterdam.com/_next/static/TNq0MfToJIaRBUz0GUBei/_buildManifest.js	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/static/TNq0MfToJIaRBUz0GUBei/_buildManifest.js	(from https://www.buildinamsterdam.com/)
04:54:30	187/187	---M--	200	added ('OK')	application/javascript	etag:%22f1899875b6c54ead65cd937220908b20%22	https://www.buildinamsterdam.com/_next/static/TNq0MfToJIaRBUz0GUBei/_ssgManifest.js	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/static/TNq0MfToJIaRBUz0GUBei/_ssgManifest.js	(from https://www.buildinamsterdam.com/)
04:54:31	105187/105187	---MCZ	200	added ('OK')	text/html	etag:W/%2214e4cb205gi295n%22	https://www.buildinamsterdam.com/about	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/about.html	(from https://www.buildinamsterdam.com/)
04:54:32	89504/89504	---MCZ	200	added ('OK')	text/html	etag:W/%22bd7998e083b4337d842b0047df9a935c%22	https://www.buildinamsterdam.com/case/land-of-ride	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/land-of-ride.html	(from https://www.buildinamsterdam.com/)
04:54:32	104390/104390	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Nov%202022%2007:24:10%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F3000x1700%2F2f08e9f0a8%2Fland-of-ride-9.jpg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/land-of-ride-99308.jpg	(from https://www.buildinamsterdam.com/)
04:54:32	142727/142727	---MCZ	200	added ('OK')	text/html	etag:W/%22e58c7785c13f62c23b10d542bbe6fcbc%22	https://www.buildinamsterdam.com/case/mammut	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/mammut.html	(from https://www.buildinamsterdam.com/)
04:54:34	433837/433837	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Nov%202022%2007:24:10%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F2560x1707%2F9f78e6c0b7%2Fskiing_zermatt_fw20-21_0501_c-1-1-scaled.jpeg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/skiing_zermatt_fw20-21_0501_c-1-1-scaled71a4.jpg	(from https://www.buildinamsterdam.com/)
04:54:34	90690/90690	---MCZ	200	added ('OK')	text/html	etag:W/%228809126257dd30a1e296e38ef43e6fb4%22	https://www.buildinamsterdam.com/case/foam-talent-2021	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/foam-talent-2021.html	(from https://www.buildinamsterdam.com/)
04:54:35	1269842/1269842	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Nov%202022%2007:51:36%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F2008x3000%2F2866e6aeba%2Fghost-island-squoosh_h-suriel10_zoomed.jpg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/ghost-island-squoosh_h-suriel10_zoomedfa38.jpg	(from https://www.buildinamsterdam.com/)
04:54:35	78025/78025	---MCZ	200	added ('OK')	text/html	etag:W/%22fa616f0ebcf583c434a8da340695256b%22	https://www.buildinamsterdam.com/case/expedition-baikal	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/expedition-baikal.html	(from https://www.buildinamsterdam.com/)
